Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,Chrome 127.0.0.0,,,2024-07-31 15:11:40,2024-07-31 15:12:09,29.405s,PASSED
,,,,,,,
Test Cases/Full_flow/Full_Flow,Chrome 127.0.0.0,,,2024-07-31 15:11:40,2024-07-31 15:11:55,14.936s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,2024-07-31 15:11:40,2024-07-31 15:11:42,1.844s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 127.0.0.0,,,2024-07-31 15:11:42,2024-07-31 15:11:43,0.772s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,2024-07-31 15:11:43,2024-07-31 15:11:43,0.059s,PASSED
"setText(findTestObject(""Object Repository/full_flow/Page_Swag Labs/input_Swag Labs_user-name""), UserName)",Chrome 127.0.0.0,,,2024-07-31 15:11:43,2024-07-31 15:11:45,2.145s,PASSED
"setText(findTestObject(""Object Repository/full_flow/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 127.0.0.0,,,2024-07-31 15:11:45,2024-07-31 15:11:46,0.710s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 127.0.0.0,,,2024-07-31 15:11:46,2024-07-31 15:11:46,0.403s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/button_Add to cart""))",Chrome 127.0.0.0,,,2024-07-31 15:11:46,2024-07-31 15:11:46,0.472s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/button_Add to cart_1""))",Chrome 127.0.0.0,,,2024-07-31 15:11:46,2024-07-31 15:11:47,0.589s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/button_Add to cart_1_2""))",Chrome 127.0.0.0,,,2024-07-31 15:11:47,2024-07-31 15:11:47,0.452s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/button_Add to cart_1_2_3""))",Chrome 127.0.0.0,,,2024-07-31 15:11:47,2024-07-31 15:11:48,0.546s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/a_4""))",Chrome 127.0.0.0,,,2024-07-31 15:11:48,2024-07-31 15:11:49,0.605s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/button_Remove""))",Chrome 127.0.0.0,,,2024-07-31 15:11:49,2024-07-31 15:11:49,0.629s,PASSED
"click(findTestObject(""Object Repository/full_flow/Page_Swag Labs/button_Checkout""))",Chrome 127.0.0.0,,,2024-07-31 15:11:49,2024-07-31 15:11:50,0.470s,PASSED
"setText(findTestObject(""Object Repository/full_flow/Page_Swag Labs/input_Checkout Your Information_firstName""), FullName)",Chrome 127.0.0.0,,,2024-07-31 15:11:50,2024-07-31 15:11:51,0.903s,PASSED
